[2023-02-23T10:57:11.980] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:57:23.621] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:57:33.950] [INFO] access - path:/api/basic/enum/create | method:POST | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:57:48.747] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:58:26.744] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:58:32.282] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:59:00.735] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:59:06.724] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:59:12.167] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=GENDER | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:59:24.625] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:59:40.695] [INFO] access - path:/api/basic/enumType/delete/1 | method:DELETE | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:59:49.023] [INFO] access - path:/api/basic/enumType/allDict | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T10:59:53.793] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T11:01:10.099] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T11:01:36.429] [INFO] access - path:/api/basic/enum/all | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T11:02:14.856] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=GENDER | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T11:02:22.821] [INFO] access - path:/api/basic/enum/allByType?typeId=&typeCode=UNIT | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T11:02:28.067] [INFO] access - path:/api/basic/enum/allByType?typeId=1&typeCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
[2023-02-23T11:02:31.604] [INFO] access - path:/api/basic/enum/list?pageNum=1&pageSize=10&enumName=&enumCode= | method:GET | ua:apifox/1.0.0 (https://www.apifox.cn)
